,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
453,Badia Complete Seasoning,Condiments - Spices,"Badia Complete Seasoning is a versatile blend of herbs and spices that adds a delicious burst of flavor to any dish. This all-purpose seasoning is a perfect combination of garlic, oregano, cumin, and other premium herbs and spices, making it an essential addition to your spice collection. Whether you're grilling, roasting, or sautéing, Badia Complete Seasoning is the perfect way to enhance the taste of your favorite foods. Elevate your cooking with this savory and aromatic seasoning blend.",$4.31,492,Non-Vegan,Non-Gluten-Free
454,Simply Organic Ground Cinnamon,Condiments - Spices,"Simply Organic Ground Cinnamon is a high-quality, certified organic spice that adds a warm and aromatic flavor to any dish. Made from pure, ground cinnamon bark, this spice is perfect for adding to baked goods, oatmeal, coffee, and more. With its rich, sweet taste and enticing aroma, this cinnamon is a must-have in any spice collection.",$4.51,571,Non-Vegan,Non-Gluten-Free
455,Mrs. Dash Original Blend,Condiments - Spices,"Mrs. Dash Original Blend is a versatile and flavorful spice blend that adds a burst of zesty, savory flavor to any dish. Made with a delicious combination of herbs and spices, this salt-free seasoning is perfect for adding a dash of flavor to meats, vegetables, and more. Whether you're grilling, roasting, or sautéing, Mrs. Dash Original Blend is a convenient and delicious way to elevate your favorite recipes.",$3.48,671,Non-Vegan,Non-Gluten-Free
456,Weber Kick'N Chicken Seasoning,Condiments - Spices,"""Weber Kick'N Chicken Seasoning is a zesty blend of spices designed to add a flavorful kick to your chicken dishes. This unique seasoning combines a bold mix of herbs, spices, and savory flavors to elevate the taste of your grilled, roasted, or baked chicken. Perfect for adding a delicious twist to your favorite chicken recipes, Weber Kick'N Chicken Seasoning is a must-have condiment for any poultry lover.""",$3.43,556,Vegan,Non-Gluten-Free
457,Frontier Co-op Organic Black Peppercorns,Condiments - Spices,"Frontier Co-op Organic Black Peppercorns are high-quality, certified organic peppercorns that have been carefully sourced and packaged to maintain their freshness and flavor. These peppercorns are perfect for adding a bold and zesty kick to your favorite recipes, and the organic certification ensures that they have been grown and processed without any synthetic pesticides or additives. Add a sprinkle of these peppercorns to your dishes to elevate the flavor and bring a rich, aromatic depth to your meals.",$4.53,264,Vegan,Non-Gluten-Free
458,Tone's Garlic & Herb Seasoning,Condiments - Spices,"Tone's Garlic & Herb Seasoning is a flavorful blend of garlic, herbs, and spices that adds a delicious and aromatic kick to any dish. Perfect for seasoning meats, vegetables, and sauces, this versatile spice mix is a kitchen essential for adding depth and complexity to your cooking. Whether grilling, roasting, or sautéing, Tone's Garlic & Herb Seasoning is sure to elevate your meals with its savory and zesty flavor profile.",$2.34,829,Non-Vegan,Non-Gluten-Free
459,Durkee Ground Mustard,Condiments - Spices,"Durkee Ground Mustard is a zesty and aromatic spice that adds a bold and tangy flavor to a variety of dishes. Made from high-quality mustard seeds, this finely ground spice is perfect for seasoning meats, dressings, sauces, and marinades. Elevate your culinary creations with the distinctive taste of Durkee Ground Mustard.",$2.62,609,Non-Vegan,Non-Gluten-Free
460,Kraft Classic Caesar Dressing,Condiments - Dressings,"Kraft Classic Caesar Dressing is a rich and creamy dressing made with high-quality ingredients, including Parmesan cheese, garlic, and anchovies, to create the perfect blend of flavors. This classic dressing is ideal for drizzling over Caesar salads, as a dip for veggies, or as a marinade for chicken or seafood. Add a delicious touch of indulgence to your favorite dishes with Kraft Classic Caesar Dressing.",$1.42,153,Non-Vegan,Non-Gluten-Free
461,Hidden Valley Ranch Dressing,Condiments - Dressings,"Hidden Valley Ranch Dressing is a rich and creamy blend of tangy buttermilk, garlic, and herbs. Perfect for drizzling over salads, dipping vegetables, or even as a sandwich spread, this iconic dressing adds a burst of flavor to any dish. Made with quality ingredients, it's a classic condiment that is sure to become a staple in your kitchen.",$1.53,197,Non-Vegan,Gluten-Free
462,Hellmann's Real Mayonnaise,Condiments - Dressings,"Hellmann's Real Mayonnaise is a classic condiment that is perfect for adding rich and creamy flavor to your favorite dishes. Made with high-quality ingredients, this mayonnaise is versatile and can be used as a topping, a dip, or a key ingredient in recipes. Whether you're making a sandwich, a salad, or a dip, Hellmann's Real Mayonnaise is the perfect way to add a delicious touch to any meal.",$4.04,293,Vegan,Gluten-Free
463,Ken's Steak House Creamy Italian Dressing,Condiments - Dressings,"Ken's Steak House Creamy Italian Dressing is a classic, savory dressing perfect for adding rich flavor to salads, sandwiches, and more. Made with high-quality ingredients, this creamy dressing has a perfect balance of tangy Italian herbs and creamy texture, making it a versatile condiment for any dish. Whether you're grilling up a steak or tossing a fresh green salad, this creamy Italian dressing is sure to add a deliciously savory touch to your meal.",$4.35,236,Non-Vegan,Gluten-Free
464,Wish-Bone Italian Salad Dressing,Condiments - Dressings,"Wish-Bone Italian Salad Dressing is a flavorful blend of herbs, spices, and tangy vinegar that adds a delicious and zesty taste to salads, vegetables, and more. Perfect for adding a touch of Italy to your favorite dishes, this dressing is sure to elevate your meals with its bold and versatile flavor.",$3.08,783,Vegan,Non-Gluten-Free
465,Newman's Own Balsamic Vinaigrette,Condiments - Dressings,"Newman's Own Balsamic Vinaigrette is a delicious and flavorful dressing made with high-quality balsamic vinegar, oil, and a blend of herbs and spices. This versatile condiment is perfect for salads, marinades, and as a dipping sauce for bread. Made with all-natural ingredients and no artificial preservatives, Newman's Own Balsamic Vinaigrette is a delicious and healthy addition to any meal. Add a burst of tangy sweetness to your favorite dishes with this classic vinaigrette.",$2.42,870,Non-Vegan,Gluten-Free
466,Heinz Tomato Ketchup,Condiments - Dressings,"Heinz Tomato Ketchup is a classic condiment made with simple and high-quality ingredients. It features the perfect balance of tangy tomatoes, sweet and savory spices, and a smooth, thick texture. It's a versatile addition to a wide range of dishes, from burgers and hot dogs to fries and eggs. This iconic ketchup is a must-have for adding a burst of flavor to any meal.",$2.17,496,Non-Vegan,Gluten-Free
467,French's Classic Yellow Mustard,Condiments - Dressings,"French's Classic Yellow Mustard is a timeless condiment that adds a tangy, slightly spicy flavor to all your favorite dishes. Made with high-quality mustard seeds and a blend of spices, this classic yellow mustard is perfect for hot dogs, burgers, sandwiches, and more. With its smooth and creamy texture, it's a versatile and essential addition to any kitchen pantry.",$1.71,650,Non-Vegan,Gluten-Free
468,Marie's Chunky Blue Cheese Dressing,Condiments - Dressings,"Marie's Chunky Blue Cheese Dressjsonig is a creamy and flavorful dressing made with chunks of real blue cheese, perfect for dressing up salads, wings, burgers, and more. Made with high-quality ingredients, it adds a rich and tangy kick to any dish.",$1.75,514,Non-Vegan,Gluten-Free
469,Annie's Organic Honey Mustard Dressing,Condiments - Dressings,"Annie's Organic Honey Mustard Dressing is a flavorful and wholesome condiment perfect for adding a touch of sweetness to your favorite dishes. Made with organic ingredients, this dressing is a delicious blend of tangy mustard and smooth honey, perfect for drizzling over salads, sandwiches, and more. With its high-quality and natural ingredients, Annie's Organic Honey Mustard Dressing is a must-have for any kitchen pantry.",$2.78,359,Vegan,Gluten-Free
470,Tylenol Extra Strength Pain Reliever,Health and Beauty - Medicines,"Tylenol Extra Strength Pain Reliever is a trusted and effective over-the-counter medication for relieving a variety of aches and pains, including headaches, muscle aches, and arthritis. This extra strength formula provides fast, long-lasting relief, and is gentle on the stomach. With its active ingredient, acetaminophen, this medicine is a go-to choice for those seeking relief from moderate to severe pain. Keep Tylenol Extra Strength Pain Reliever on hand for quick and reliable pain relief.",$4.29,173,Vegan,Gluten-Free
471,Advil Liqui-Gels,Health and Beauty - Medicines,"Advil Liqui-Gels are a fast-acting pain relief medication that provides relief from aches, pains, and fevers. The liqui-gels are easy to swallow and work quickly to alleviate discomfort, making them a convenient and effective choice for on-the-go relief. Whether you're dealing with headaches, muscle aches, or menstrual cramps, Advil Liqui-Gels provide powerful pain relief in a convenient format.",$2.15,128,Non-Vegan,Non-Gluten-Free
472,Claritin Non-Drowsy Allergy Relief,Health and Beauty - Medicines,"Claritin Non-Drowsy Allergy Relief is a fast-acting medicine designed to provide relief from allergy symptoms such as sneezing, runny nose, itchy, watery eyes, and itching of the nose and throat. This non-drowsy formula allows users to combat their allergies without feeling tired or sluggish. Perfect for those with busy lifestyles who need effective relief without sacrificing productivity.",$3.61,382,Non-Vegan,Non-Gluten-Free
473,Pepto-Bismol Stomach Relief,Health and Beauty - Medicines,"Pepto-Bismol Stomach Relief is a fast-acting and effective medicine to provide relief from common stomach issues such as indigestion, heartburn, and nausea. This pink, soothing liquid helps to coat the stomach lining and alleviate discomfort, making it an essential product to have on hand for anyone experiencing digestive discomfort. With a pleasant taste and convenient liquid form, Pepto-Bismol Stomach Relief offers quick relief for a variety of stomach-related ailments.",$3.64,812,Vegan,Non-Gluten-Free
474,Tums Antacid Tablets,Health and Beauty - Medicines,"Tums Antacid Tablets are an effective and fast-acting solution for heartburn and indigestion. This over-the-counter medicine helps neutralize stomach acid to provide quick relief from discomfort, and is available in a variety of flavors to suit individual preferences. With their convenient tablet format, Tums Antacid Tablets are a must-have for anyone seeking relief from common digestive issues.",$1.84,306,Vegan,Non-Gluten-Free
475,Dramamine Motion Sickness Relief,Health and Beauty - Medicines,"Dramamine Motion Sickness Relief is a trusted and reliable over-the-counter medicine that provides fast relief from symptoms of motion sickness such as nausea, dizziness, and vomiting. Whether you're traveling by car, boat, or air, Dramamine can help alleviate discomfort and allow you to enjoy your journey with ease. With a non-drowsy formula, it's perfect for anyone looking to relieve motion sickness symptoms without feeling sleepy. Keep a pack of Dramamine on hand for all your travel adventures.",$4.35,388,Non-Vegan,Gluten-Free
476,Robitussin Cough Syrup,Health and Beauty - Medicines,"Robitussin Cough Syrup is a trusted and effective medicine for relieving coughs and chest congestion. This non-drowsy formula provides fast relief from cough symptoms, allowing you to breathe easier and feel better. With its proven cough-suppressant and expectorant properties, Robitussin Cough Syrup is a go-to remedy for soothing and managing coughs due to colds or respiratory infections.",$2.21,822,Non-Vegan,Gluten-Free
477,Theraflu Cold and Flu Medicine,Health and Beauty - Medicines,"Theraflu Cold and Flu Medicine is a powerful over-the-counter medication designed to provide fast and effective relief from cold and flu symptoms. With a combination of proven cold and flu-fighting ingredients, this medicine helps alleviate congestion, cough, sore throat, and fever, allowing you to quickly start feeling better. Its easy-to-use, convenient form makes it perfect for use at home or on-the-go. Say goodbye to the discomfort of cold and flu with Theraflu Cold and Flu Medicine.",$2.82,386,Non-Vegan,Non-Gluten-Free
478,Zyrtec Allergy Tablets,Health and Beauty - Medicines,"Zyrtec Allergy Tablets are a non-drowsy antihistamine medication designed to provide fast and effective relief from allergies. With just one tablet, users can experience relief from symptoms such as sneezing, runny nose, itchy eyes, and more. Whether it's pollen, pet dander, or other common allergens, Zyrtec Allergy Tablets offer long-lasting relief to help you get back to feeling your best.",$4.02,914,Non-Vegan,Gluten-Free
479,Excedrin Migraine Pain Reliever,Health and Beauty - Medicines,"Excedrin Migraine Pain Reliever is an over-the-counter medication specifically designed to provide fast and effective relief for migraine headaches. It contains a powerful combination of pain relievers and caffeine to target the intense pain and symptoms associated with migraines, such as sensitivity to light and sound. This trusted formula is clinically proven to help alleviate migraine discomfort, allowing you to get back to your day with greater ease and comfort.",$2.12,664,Non-Vegan,Non-Gluten-Free
480,Dove Beauty Bar,Health and Beauty - Personal Care,"The Dove Beauty Bar is a gentle cleanser that nourishes and hydrates the skin, leaving it feeling soft and smooth. Enriched with moisturizing cream and gentle cleansers, this bar is perfect for daily use on the face, body, and hands. It helps to maintain the skin's natural moisture balance, making it suitable for all skin types. The Dove Beauty Bar leaves the skin feeling clean, fresh, and beautifully radiant.",$4.15,881,Non-Vegan,Non-Gluten-Free
481,Crest 3D White Toothpaste,Health and Beauty - Personal Care,"Crest 3D White Toothpaste is a premium toothpaste designed to whiten and brighten your smile. Its advanced formula removes up to 80% of surface stains, leaving your teeth noticeably whiter in just a few days. The toothpaste also strengthens enamel and protects against future stains, while leaving your breath fresh and your mouth feeling clean. Say goodbye to yellowing and hello to a radiant, confident smile with Crest 3D White Toothpaste.",$1.11,734,Vegan,Non-Gluten-Free
482,Neutrogena Oil-Free Acne Wash,Health and Beauty - Personal Care,"Neutrogena Oil-Free Acne Wash is a gentle yet effective facial cleanser specifically formulated to treat and prevent acne breakouts. The oil-free formula helps to clear up acne and prevent future blemishes without over-drying or irritating the skin. Suitable for all skin types, this daily face wash helps to keep the skin clean, fresh, and blemish-free.",$1.55,844,Non-Vegan,Non-Gluten-Free
483,Schick Hydro Silk Razor,Health and Beauty - Personal Care,"The Schick Hydro Silk Razor is a high-performance, hydrating razor designed for a smooth and comfortable shaving experience. Featuring five curve-sensing blades and water-activated moisturizing serum, this razor provides an incredibly close shave while keeping the skin moisturized and nourished. Its ergonomic handle and sleek design make it easy and comfortable to use, making it a must-have for anyone looking for a superior shaving experience.",$3.01,735,Vegan,Gluten-Free
484,Listerine Total Care Mouthwash,Health and Beauty - Personal Care,"Listerine Total Care Mouthwash is a powerful and effective way to maintain oral health. With its 6-in-1 benefits, this mouthwash helps prevent cavities, strengthen enamel, freshen breath, kill germs, and reduce plaque. Its advanced formula also helps to restore your mouth's natural pH balance and offers 12-hour protection. This essential addition to your oral care routine leaves your mouth feeling clean, fresh, and healthy.",$1.60,918,Non-Vegan,Gluten-Free
485,Aveeno Daily Moisturizing Lotion,Health and Beauty - Personal Care,"Aveeno Daily Moisturizing Lotion is a nourishing and hydrating lotion designed to keep your skin soft and smooth all day long. Formulated with natural oatmeal and rich emollients, this gentle lotion helps to soothe and moisturize dry, sensitive skin, leaving it feeling healthy and revitalized. Perfect for daily use, it absorbs quickly and is fragrance-free, making it suitable for all skin types. Keep your skin looking and feeling its best with Aveeno Daily Moisturizing Lotion.",$2.18,804,Non-Vegan,Gluten-Free
486,Pantene Pro-V Shampoo,Health and Beauty - Personal Care,"Pantene Pro-V Shampoo is a trusted and popular choice for those looking to achieve healthy, vibrant hair. Infused with Pro-V nutrients, this shampoo works to cleanse and nourish the hair from root to tip, leaving it looking strong and beautifully shiny. The advanced formula helps to repair damage, control frizz, and protect against future breakage, making it the perfect choice for anyone seeking a salon-quality clean and vibrant hair at home.",$1.11,165,Non-Vegan,Gluten-Free
487,Tampax Pearl Tampons,Health and Beauty - Personal Care,"Tampax Pearl Tampons are a reliable and discreet personal care product designed to provide comfortable and leak-free protection during your menstrual cycle. With a smooth plastic applicator and a unique leak guard braid, these tampons offer superior protection and comfort, allowing you to stay active and confident throughout your day. Available in a variety of absorbency levels to suit your needs, Tampax Pearl Tampons are a trusted choice for women looking for dependable menstrual protection.",$1.83,482,Vegan,Non-Gluten-Free
488,Old Spice Deodorant,Health and Beauty - Personal Care,"Old Spice Deodorant is a classic, long-lasting deodorant designed to keep you feeling fresh and confident all day long. Its iconic, masculine scent will leave you smelling great while its advanced formula helps to keep sweat and odor at bay. Stay dry and comfortable with Old Spice Deodorant.",$3.40,629,Non-Vegan,Gluten-Free
489,Olay Regenerist Anti-Aging Cream,Health and Beauty - Personal Care,"Olay Regenerist Anti-Aging Cream is a luxurious and effective skincare product designed to combat the signs of aging. Enriched with powerful anti-aging ingredients, this cream helps to reduce the appearance of fine lines and wrinkles, while also improving skin firmness and elasticity. With consistent use, it leaves skin hydrated, smooth, and radiant, promoting a more youthful and rejuvenated complexion.",$4.39,214,Non-Vegan,Gluten-Free
490,Centrum Multivitamin,Health and Beauty - Supplements,"Centrum Multivitamin is a comprehensive daily supplement designed to support overall health and well-being. Packed with essential vitamins and minerals, this formula is designed to fill in nutritional gaps and promote optimal health. With just one easy-to-take tablet a day, Centrum Multivitamin is an easy way to ensure you're getting the nutrients your body needs to thrive.",$4.32,110,Non-Vegan,Non-Gluten-Free
491,Nature's Bounty Fish Oil,Health and Beauty - Supplements,"""Nature's Bounty Fish Oil is a premium dietary supplement designed to support heart health and overall well-being. Packed with Omega-3 fatty acids, this high-quality fish oil is sourced from deep-sea fish and undergoes rigorous testing to ensure purity and potency. With regular use, it may help promote healthy cholesterol levels and contribute to the maintenance of healthy circulation. Nature's Bounty Fish Oil is ideal for those seeking natural ways to support their cardiovascular health and enhance their daily wellness routine.""",$3.86,136,Non-Vegan,Gluten-Free
492,OLLY Women's Multi Vitamin,Health and Beauty - Supplements,"OLLY Women's Multi Vitamin is a specially formulated supplement designed to support the unique nutritional needs of women. Packed with essential vitamins, minerals, and antioxidants, this daily multi vitamin helps to promote overall health and wellbeing. With a delicious blend of flavors and easy-to-take gummies, OLLY Women's Multi Vitamin makes it convenient and enjoyable to prioritize your health and beauty from the inside out.",$2.30,779,Non-Vegan,Gluten-Free
493,Garden of Life Probiotics,Health and Beauty - Supplements,"Garden of Life Probiotics is a high-quality supplement designed to support a healthy gut and immune system. Packed with billions of diverse, live probiotic cultures, this supplement promotes digestive balance and overall wellness. Formulated with organic and non-GMO ingredients, Garden of Life Probiotics is a reliable choice for those seeking to improve their gut health and enhance their overall well-being.",$1.16,461,Non-Vegan,Gluten-Free
494,One A Day Men's Health Formula,Health and Beauty - Supplements,"One A Day Men's Health Formula is a specially formulated supplement designed to support men's overall health and well-being. Packed with essential vitamins and minerals, this daily supplement helps to promote a healthy heart, immune system, and muscle function. It also provides support for energy metabolism and helps to maintain healthy blood pressure. With just one easy-to-take tablet per day, this formula is a convenient way for men to fill nutritional gaps and stay at their best.",$2.90,124,Vegan,Gluten-Free
495,New Chapter Turmeric Supplement,Health and Beauty - Supplements,"New Chapter Turmeric Supplement is a natural and organic dietary supplement that supports a healthy inflammation response, immune system, and overall wellness. Made with high-quality, non-GMO ingredients, this supplement provides the full spectrum of beneficial compounds found in organic turmeric. It is an excellent choice for those looking to support their joint health, cardiovascular health, and cognitive function.",$4.01,718,Non-Vegan,Non-Gluten-Free
496,Natrol Melatonin,Health and Beauty - Supplements,"Natrol Melatonin is a natural supplement designed to promote relaxation and support healthy sleep patterns. Formulated with 10mg of melatonin, a hormone naturally produced by the body, this product helps regulate the body's internal clock and improve overall sleep quality. With regular use, Natrol Melatonin can help individuals achieve a more restful and rejuvenating night's sleep.",$4.09,160,Vegan,Non-Gluten-Free
497,Puritan's Pride Vitamin C,Health and Beauty - Supplements,"Puritan's Pride Vitamin C is a high-quality dietary supplement designed to support overall health and wellness. Packed with immune-boosting properties, this supplement is formulated to provide a potent dose of Vitamin C, a vital nutrient that helps promote a healthy immune system, fight free radicals, and support healthy skin and collagen production. With its easy-to-swallow capsules, Puritan's Pride Vitamin C is the perfect addition to any daily wellness routine.",$2.58,657,Vegan,Non-Gluten-Free
498,The Vitamin Shoppe Collagen Peptides,Health and Beauty - Supplements,"The Vitamin Shoppe Collagen Peptides are a high-quality supplement designed to support healthy hair, skin, and nails. Made from grass-fed, pasture-raised bovine collagen, these peptides are easily absorbed by the body, promoting improved skin elasticity and hydration. By adding this supplement to your daily routine, you can work towards a healthier, more radiant complexion and overall well-being.",$4.74,360,Vegan,Gluten-Free
499,Solgar Biotin Supplement,Health and Beauty - Supplements,"Solgar Biotin Supplement is a high-quality health and beauty supplement that supports healthy hair, skin, and nails. Formulated with 5000 mcg of biotin, this supplement helps promote healthy cellular energy production and metabolism. With no artificial flavors, sweeteners, or preservatives, Solgar Biotin Supplement is the perfect choice for those looking to improve their overall health and beauty from the inside out.",$2.99,808,Vegan,Non-Gluten-Free
500,Lysol Disinfectant Spray,Household Items - Cleaners,"Lysol Disinfectant Spray is a powerful household cleaner that kills 99.9% of viruses and bacteria on hard surfaces. This versatile spray can be used in the kitchen, bathroom, and other high-traffic areas to effectively eliminate germs and prevent the spread of illness. With a fresh scent and easy-to-use spray nozzle, Lysol Disinfectant Spray is an essential tool for keeping your home clean and hygienic.",$1.57,854,Vegan,Non-Gluten-Free
501,Clorox Clean-Up Cleaner + Bleach,Household Items - Cleaners,"Clorox Clean-Up Cleaner + Bleach is a powerful household cleaner designed to tackle tough messes and stains. With the added power of bleach, it effectively disinfects and deodorizes surfaces while cutting through grease, grime, and dirt. It is perfect for use in kitchens, bathrooms, and other high-traffic areas, leaving behind a fresh, clean scent. Keep your home sparkling and germ-free with Clorox Clean-Up Cleaner + Bleach.",$2.36,636,Vegan,Gluten-Free
502,Windex Original Glass Cleaner,Household Items - Cleaners,"Windex Original Glass Cleaner is a household essential for effortlessly cleaning and shining all of your glass surfaces. This powerful formula removes dirt, grime, and streaks without leaving behind any residue, leaving your windows, mirrors, and glass tabletops sparkling clean and streak-free. Trusted for generations, Windex Original Glass Cleaner is a must-have for maintaining a spotless and clear view throughout your home.",$1.13,253,Non-Vegan,Non-Gluten-Free
503,Mr. Clean Magic Eraser,Household Items - Cleaners,"Mr. Clean Magic Eraser is a powerful household cleaner designed to tackle tough stains and grime with ease. This versatile cleaning tool utilizes its innovative micro-scrubbing technology to lift away dirt and debris from a variety of surfaces, including walls, floors, appliances, and more. Say goodbye to stubborn marks and hello to a sparkling clean home with Mr. Clean Magic Eraser.",$3.57,297,Non-Vegan,Gluten-Free
504,Pine-Sol Multi-Surface Cleaner,Household Items - Cleaners,"Pine-Sol Multi-Surface Cleaner is a versatile and powerful household cleaner designed to tackle tough dirt, grease, and grime on a variety of surfaces. Infused with the refreshing scent of pine, this all-purpose cleaner is ideal for use in kitchens, bathrooms, and throughout the home. Its deep-cleaning formula leaves surfaces sparkling clean and smelling fresh, making it a staple for any cleaning arsenal.",$4.30,351,Non-Vegan,Non-Gluten-Free
505,Scrubbing Bubbles Bathroom Cleaner,Household Items - Cleaners,"Scrubbing Bubbles Bathroom Cleaner is a powerful and efficient cleaner designed to tackle tough bathroom messes. Its unique formula easily penetrates and removes soap scum, dirt, and grime from a variety of surfaces, leaving your bathroom sparkling clean and smelling fresh. Just spray and let the powerful foam do the scrubbing for you, making your cleaning routine quick and effortless. Say goodbye to tough bathroom stains with Scrubbing Bubbles Bathroom Cleaner.",$1.16,195,Non-Vegan,Gluten-Free
506,409 All-Purpose Cleaner,Household Items - Cleaners,"'409 All-Purpose Cleaner' is a powerful, versatile cleaning solution for all your household messes. It easily cuts through grease and grime on countertops, appliances, and other surfaces, leaving them sparkling clean and fresh. With its tough formula, it can tackle tough stains and messes, making it an essential cleaner for any home. Keep your living space clean and sanitized with '409 All-Purpose Cleaner.'",$4.37,268,Vegan,Gluten-Free
507,Febreze Fabric Refresher,Household Items - Cleaners,"Febreze Fabric Refresher is a powerful cleaner designed to eliminate odors and freshen up all fabric surfaces in your home. Its unique formula penetrates deep into the fabric to effectively remove unwanted odors, leaving behind a light, pleasant scent. Ideal for use on furniture, curtains, carpets, bedding, and more, Febreze Fabric Refresher is a must-have for keeping your home smelling clean and inviting.",$4.67,755,Non-Vegan,Gluten-Free
508,OxiClean Versatile Stain Remover,Household Items - Cleaners,"OxiClean Versatile Stain Remover is a powerful and effective cleaner that can tackle tough stains on a variety of household items. Its oxygen-based formula helps to lift and remove stains from clothing, carpets, upholstery, and more. Whether you're dealing with food, grease, or even wine stains, OxiClean Versatile Stain Remover can help restore your items to a like-new condition. Simply add it to your laundry or use it as a pre-treatment for stubborn stains. Keep your home looking clean and fresh with OxiClean Versatile Stain Remover.",$4.58,289,Non-Vegan,Gluten-Free
509,Swiffer WetJet Multi-Surface Floor Cleaner,Household Items - Cleaners,"Swiffer WetJet Multi-Surface Floor Cleaner is a powerful and convenient cleaning solution designed for use with the Swiffer WetJet floor cleaning system. The specially formulated cleaning solution is designed to lift and lock away dirt and grime from various floor surfaces, leaving them sparkling clean and residue-free. Perfect for use on hardwood, tile, and laminate floors, this cleaner is a must-have for keeping your home clean and fresh.",$1.89,594,Vegan,Gluten-Free
510,Bounty Paper Towels,Household Items - Paper Products,"Bounty Paper Towels are ultra-absorbent and durable paper towels, perfect for cleaning up spills and messes around the house. With their unique stronger, thicker, and more absorbent design, Bounty Paper Towels are a household essential for tackling tough cleaning tasks. Whether you're wiping down surfaces or drying dishes, Bounty Paper Towels are the reliable choice for everyday cleaning needs.",$4.92,611,Vegan,Gluten-Free
511,Charmin Toilet Paper,Household Items - Paper Products,"Charmin Toilet Paper is a soft and durable household essential. With its ultra-soft texture and strong construction, it provides a comfortable and reliable option for maintaining cleanliness and hygiene in the bathroom. Whether for everyday use or special occasions, Charmin Toilet Paper is a trusted choice for all your bathroom needs.",$4.33,310,Vegan,Gluten-Free
512,Scott Paper Towels,Household Items - Paper Products,"Scott Paper Towels are strong and absorbent household paper towels that are perfect for cleaning up spills, drying hands, and wiping surfaces. These multi-purpose paper towels come in a convenient roll format, making them a versatile and essential addition to any home. With a trusted brand name and high-quality performance, Scott Paper Towels are a reliable choice for everyday cleaning needs.",$4.66,663,Vegan,Non-Gluten-Free
513,Angel Soft Toilet Paper,Household Items - Paper Products,"Angel Soft Toilet Paper is a premium, plush, and absorbent toilet paper that is gentle on the skin. It is designed to provide a luxurious and comfortable bathroom experience for the whole family. With its strong and durable construction, Angel Soft Toilet Paper is perfect for everyday use and is sure to keep your bathroom feeling clean and fresh.",$4.65,121,Non-Vegan,Gluten-Free
514,Viva Paper Towels,Household Items - Paper Products,"Viva Paper Towels are strong and absorbent paper towels that make clean-up a breeze. With their durable construction, these paper towels are perfect for any household cleaning task, from spills to messes. The unique Viva design ensures that every sheet is strong and absorbent, making them an essential addition to any household.",$1.74,150,Vegan,Non-Gluten-Free
515,Cottonelle Toilet Paper,Household Items - Paper Products,"Cottonelle Toilet Paper is a high-quality paper product designed for use in the bathroom. Made from soft and durable materials, this toilet paper provides a comfortable and hygienic solution for everyday use. With its superior strength and absorbency, Cottonelle Toilet Paper offers a reliable option for maintaining cleanliness in the household.",$3.96,699,Vegan,Non-Gluten-Free
516,Brawny Paper Towels,Household Items - Paper Products,"'Brawny Paper Towels' are a durable and absorbent paper product designed to handle tough cleaning tasks. The strong, 2-ply construction makes them ideal for wiping up spills, drying hands, and a variety of other household tasks. With their reliable performance and long-lasting roll, 'Brawny Paper Towels' are a must-have for any home.",$4.57,584,Non-Vegan,Non-Gluten-Free
517,Quilted Northern Toilet Paper,Household Items - Paper Products,"Quilted Northern Toilet Paper is a luxurious and absorbent toilet paper designed for a superior bathroom experience. With its quilted texture, this 2-ply toilet paper provides strength and softness for a comfortable and effective clean. Perfect for everyday use, Quilted Northern Toilet Paper offers a reliable and high-quality solution for keeping your household stocked with essential paper products.",$3.39,629,Non-Vegan,Gluten-Free
518,Sparkle Paper Towels,Household Items - Paper Products,"""Sparkle Paper Towels"" are strong and absorbent paper towels designed for household use. With a unique sparkle design, these paper towels are perfect for cleaning up spills and messes in the kitchen, bathroom, or any other area of the home. The durable construction and enhanced absorbency make them a reliable choice for everyday cleaning tasks. Keep a roll of Sparkle Paper Towels on hand for convenient and effective clean-up whenever you need it.",$3.61,495,Vegan,Non-Gluten-Free
519,Seventh Generation Paper Towels,Household Items - Paper Products,"Seventh Generation Paper Towels are an eco-friendly and sustainable option for keeping your home clean. Made from 100% recycled paper, these durable and absorbent paper towels are free from chlorine bleach and are gentle on the environment. With a commitment to reducing waste and minimizing environmental impact, Seventh Generation Paper Towels are a responsible choice for any household.",$2.48,197,Non-Vegan,Non-Gluten-Free
520,Tide Laundry Detergent,Household Items - Laundry Supplies,"Tide Laundry Detergent is a powerful and effective solution for getting your clothes clean and fresh. With its advanced stain-fighting formula and crisp, refreshing scent, it tackles tough stains and odors, leaving your laundry looking and smelling great. This trusted brand is a must-have for any household looking to keep their clothes looking their best.",$3.51,619,Non-Vegan,Gluten-Free
521,Downy Fabric Softener,Household Items - Laundry Supplies,"Downy Fabric Softener is a popular and trusted laundry supply that helps to make clothes feel soft and smell fresh after every wash. It helps to reduce wrinkles and static cling, making ironing easier and keeping clothes looking newer for longer. With a variety of scents to choose from, Downy Fabric Softener leaves your clothes with a long-lasting, comforting fragrance. It is a must-have for anyone looking to keep their laundry soft, fresh, and static-free.",$1.50,854,Non-Vegan,Non-Gluten-Free
